filename,ground_truth_text
cv_sample_01.wav,και μην ξαναπαρουσιαστείς πια μπροστά μου
cv_sample_02.wav,Ο πρωτομάστορης χαμογέλασε πικρά.
cv_sample_03.wav,Έτσι τα άλφα έχουν πολλές επιλογές
cv_sample_04.wav,Το Βασιλόπουλο κάθισε αντίκρυ του.
cv_sample_05.wav,θα έχει δει κάτι που δεν πρέπει να δει
cv_sample_06.wav,Ένας σπίνος χαμηλοπετούσε για να βρει κανένα άχυρο
cv_sample_07.wav,και μ' ένα τσιριχτό γέλιο ανασηκώθηκε
cv_sample_08.wav,και πήρα τ' ωρολόγι και δυο ασημένια τάλιρα.
cv_sample_09.wav,"Τα μάτια του Βασιλόπουλου άστραψαν, μα κρατήθηκε."
cv_sample_10.wav,"Οι δυο αδελφές, ξετραχηλωμένες και αγριεμένες"
cv_sample_11.wav,Όλα φαίνονταν ρόδινα και ζηλευτά για το νέο ζευγάρι.
cv_sample_12.wav,ρώτησε ο Βασιλιάς ξεκαρδισμένος στα γέλια.
cv_sample_13.wav,Ο λαός σου είναι σαν όλους τους λαούς
cv_sample_14.wav,"Και γονατίζοντας πλάγι στο πανέρι, χώθηκε ο μισός μέσα."
cv_sample_15.wav,"Πήγαν παρακάτω, το ίδιο."
cv_sample_16.wav,"Και παίρνοντας μια τσάπα, θέλησε να σκάψει το χώμα, δίνοντας πρώτος αυτός το παράδειγμα."
cv_sample_17.wav,μα θύμωνε αν τον ρωτούσες τι είχε στο σακούλι του.
cv_sample_18.wav,κάθισε το Βασιλόπουλο στο τραπέζι
cv_sample_19.wav,και να πληρωθούν με το φαγί που θα τους έφερνε.
cv_sample_20.wav,και πως το παιδί αυτό δουλεύει στο συνεργείο μας
cv_sample_21.wav,γιατί τις έχει λαχτάρα.
cv_sample_22.wav,και αντάμωσε τη λυπημένη του ματιά.
cv_sample_23.wav,Και πρωτομάστορης ήταν ο αδελφός μου.
cv_sample_24.wav,και χιλιάδες διάφανες στάλες είχαν σκαλώσει σε κάθε φυλλαράκι
cv_sample_25.wav,Και θα πίστευαν πως την έκλεψα εγώ.
cv_sample_26.wav,"Πάρε μαζί σου την ζακέτα σου, θα κάνει κρύο το βράδυ."
cv_sample_27.wav,Ο αρχικαγκελάριος έβγαλε το καλαθάκι
cv_sample_28.wav,Πατέρα μου και Βασιλιά μου
cv_sample_29.wav,Και αν δεν έχω φλουριά
cv_sample_30.wav,Μα άλλο βέλος τον πήρε στο στήθος
